env_id,move_cost,grass_max,repro_threshold,energy_init,mutation_sd,seed,final_tick,final_agents,final_predators,final_genetic_diversity,extinct,agents_50,agents_100,agents_200,agents_500,agents_1000,div_50,div_100,div_200,div_500,div_1000
1,12.59,25.27,121.61,73.28,0.1379,101,200,0,0,0.000000,true,3,2,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,12.59,25.27,121.61,73.28,0.1379,102,200,0,0,0.000000,true,5,3,0,0,0,0.096047,0.137572,0.000000,0.000000,0.000000
1,12.59,25.27,121.61,73.28,0.1379,103,200,0,0,0.000000,true,8,7,0,0,0,0.112653,0.135554,0.000000,0.000000,0.000000
1,12.59,25.27,121.61,73.28,0.1379,104,200,0,0,0.000000,true,4,4,0,0,0,0.144264,0.124951,0.000000,0.000000,0.000000
1,12.59,25.27,121.61,73.28,0.1379,105,200,0,0,0.000000,true,4,2,0,0,0,0.087101,0.130289,0.000000,0.000000,0.000000
2,3.32,32.61,150.25,51.13,0.0669,101,1000,18,0,0.164046,false,100,136,86,28,18,0.093162,0.109524,0.131139,0.240476,0.164046
2,3.32,32.61,150.25,51.13,0.0669,102,1000,10,0,0.094587,false,93,133,88,38,10,0.088011,0.113863,0.125224,0.211094,0.094587
2,3.32,32.61,150.25,51.13,0.0669,103,1000,25,0,0.295152,false,100,125,85,33,25,0.104382,0.113179,0.127193,0.211470,0.295152
2,3.32,32.61,150.25,51.13,0.0669,104,1000,24,0,0.271957,false,103,140,94,24,24,0.096673,0.107189,0.122052,0.215143,0.271957
2,3.32,32.61,150.25,51.13,0.0669,105,1000,13,0,0.122246,false,96,142,92,27,13,0.094003,0.120575,0.128617,0.240410,0.122246
3,13.22,33.77,101.40,34.11,0.1080,101,200,0,0,0.000000,true,3,2,0,0,0,0.104198,0.000000,0.000000,0.000000,0.000000
3,13.22,33.77,101.40,34.11,0.1080,102,200,0,0,0.000000,true,2,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
3,13.22,33.77,101.40,34.11,0.1080,103,200,0,0,0.000000,true,7,4,0,0,0,0.104391,0.073424,0.000000,0.000000,0.000000
3,13.22,33.77,101.40,34.11,0.1080,104,200,0,0,0.000000,true,2,2,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
3,13.22,33.77,101.40,34.11,0.1080,105,200,0,0,0.000000,true,5,3,0,0,0,0.080931,0.034009,0.000000,0.000000,0.000000
4,1.80,17.27,78.73,48.12,0.1021,101,1000,29,0,0.374876,false,117,153,90,56,29,0.155476,0.171196,0.200172,0.341466,0.374876
4,1.80,17.27,78.73,48.12,0.1021,102,1000,31,0,0.500086,false,121,155,98,48,31,0.156511,0.167806,0.204004,0.379332,0.500086
4,1.80,17.27,78.73,48.12,0.1021,103,1000,36,0,0.515758,false,121,154,91,50,36,0.152903,0.162049,0.195440,0.332332,0.515758
4,1.80,17.27,78.73,48.12,0.1021,104,1000,40,0,0.529899,false,114,153,104,51,40,0.157503,0.172413,0.203697,0.345952,0.529899
4,1.80,17.27,78.73,48.12,0.1021,105,1000,35,0,0.486752,false,117,151,87,51,35,0.146770,0.175776,0.209055,0.345953,0.486752
5,1.61,28.19,79.48,64.05,0.0856,101,1000,32,0,0.370560,false,130,182,134,52,32,0.135958,0.141321,0.166316,0.324531,0.370560
5,1.61,28.19,79.48,64.05,0.0856,102,1000,34,0,0.355806,false,131,178,127,55,34,0.138890,0.148801,0.165846,0.289181,0.355806
5,1.61,28.19,79.48,64.05,0.0856,103,1000,34,0,0.430292,false,128,181,136,67,34,0.141207,0.143071,0.171284,0.293817,0.430292
5,1.61,28.19,79.48,64.05,0.0856,104,1000,34,0,0.331799,false,136,171,121,31,34,0.131679,0.138868,0.172700,0.297405,0.331799
5,1.61,28.19,79.48,64.05,0.0856,105,1000,42,0,0.422989,false,124,164,125,61,42,0.135933,0.153161,0.184193,0.308274,0.422989
6,6.32,24.54,178.80,38.77,0.1171,101,1000,14,0,0.483529,false,42,51,23,25,14,0.130893,0.142553,0.230539,0.373613,0.483529
6,6.32,24.54,178.80,38.77,0.1171,102,1000,13,0,0.437165,false,45,55,38,14,13,0.146299,0.148355,0.247109,0.348501,0.437165
6,6.32,24.54,178.80,38.77,0.1171,103,1000,17,0,0.487582,false,46,56,30,20,17,0.129003,0.161845,0.210090,0.339538,0.487582
6,6.32,24.54,178.80,38.77,0.1171,104,687,0,0,0.000000,true,53,61,24,15,0,0.137409,0.153545,0.201699,0.324040,0.000000
6,6.32,24.54,178.80,38.77,0.1171,105,1000,6,0,0.140500,false,40,51,29,5,6,0.134002,0.166020,0.241611,0.130357,0.140500
7,6.44,12.11,158.30,43.51,0.0157,101,1000,6,0,0.018697,false,42,41,10,23,6,0.016939,0.018811,0.027800,0.048382,0.018697
7,6.44,12.11,158.30,43.51,0.0157,102,1000,1,0,0.000000,false,35,38,9,7,1,0.016442,0.018981,0.027291,0.037568,0.000000
7,6.44,12.11,158.30,43.51,0.0157,103,1000,8,0,0.020719,false,39,42,12,9,8,0.018215,0.020498,0.028469,0.043141,0.020719
7,6.44,12.11,158.30,43.51,0.0157,104,1000,7,0,0.021869,false,48,41,13,7,7,0.017739,0.019218,0.027642,0.024415,0.021869
7,6.44,12.11,158.30,43.51,0.0157,105,1000,6,0,0.022397,false,33,31,12,5,6,0.016623,0.020692,0.027146,0.013538,0.022397
8,1.59,34.87,123.81,74.19,0.0414,101,1000,33,0,0.203480,false,138,189,148,45,33,0.066926,0.072433,0.088143,0.141547,0.203480
8,1.59,34.87,123.81,74.19,0.0414,102,1000,36,0,0.168204,false,126,183,156,53,36,0.062779,0.073042,0.079748,0.145284,0.168204
8,1.59,34.87,123.81,74.19,0.0414,103,1000,45,0,0.176802,false,137,190,153,56,45,0.065668,0.068624,0.083716,0.141843,0.176802
8,1.59,34.87,123.81,74.19,0.0414,104,1000,38,0,0.184928,false,136,199,157,47,38,0.057425,0.072347,0.081995,0.146346,0.184928
